LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
846b488b2aeaebda88fb9fc354eb109932fadd237e916b4f44d319155ddb9b4c,1,Low energy lighting for all fixed outlets,Low energy lighting,35.0,,£10
8485402612e75a9e308e78ac42d6fb18a6c8f98b5ef03f1e2a00abd4d2f7eb34,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£850 - £1,500"
8485402612e75a9e308e78ac42d6fb18a6c8f98b5ef03f1e2a00abd4d2f7eb34,2,Internal or external wall insulation,Internal or external wall insulation,7.0,,"£4,000 - £14,000"
91389531be9961721d792c5a903b85a8dcb6603a7bd10fb41ca930a12cee64fa,1,Flat roof or sloping ceiling insulation,Flat roof or sloping ceiling insulation,45.0,,"£850 - £1,500"
93543ac7c8175ffbf085c3f52cf546537e063987ac6fe84bde8e8e6b663a1676,1,Internal or external wall insulation,Internal or external wall insulation,7.0,,"£4,000 - £14,000"
948675d4ec21cc2cb57fc1c157d3f618a198e76cd61c0d08baa16ab0cde9f695,1,Internal or external wall insulation,Internal or external wall insulation,7.0,,"£4,000 - £14,000"
948675d4ec21cc2cb57fc1c157d3f618a198e76cd61c0d08baa16ab0cde9f695,2,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£3,300 - £6,500"
948675d4ec21cc2cb57fc1c157d3f618a198e76cd61c0d08baa16ab0cde9f695,3,"Solar photovoltaic panels, 2.5 kWp",Solar photovoltaic panels,34.0,,"£3,500 - £5,500"
95c3f61781fdf654e7023a1840991546af44842a1d46a21d697aaf2487fa5dda,1,Cavity wall insulation,Cavity wall insulation,6.0,,"£500 - £1,500"
95c3f61781fdf654e7023a1840991546af44842a1d46a21d697aaf2487fa5dda,2,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
95c3f61781fdf654e7023a1840991546af44842a1d46a21d697aaf2487fa5dda,3,Increase hot water cylinder insulation,Increase hot water cylinder insulation,2.0,,£15 - £30
95c3f61781fdf654e7023a1840991546af44842a1d46a21d697aaf2487fa5dda,4,High heat retention storage heaters,High heat retention storage heaters,60.0,,"£1,200 - £1,800"
a22872b20cbd7f716eeefe4c73ae21c21b51b2196f0cfd18c55b6ef45ff35a7c,1,Room-in-roof insulation,Room-in-roof insulation,46.0,,"£1,500 - £2,700"
a5b9ba64804498af6082374870bd0e0f66d3c3aaecb248a649eb8855781b8ab3,1,Add additional 80 mm jacket to hot water cylinder,Add additional 80 mm jacket to hot water cylinder,3.0,,£15 - £30
ad249815a7eb92fd699d433759f6b928efecb341841d5ab32a48314f63327717,1,Internal or external wall insulation,Internal or external wall insulation,7.0,,"£4,000 - £14,000"
ad249815a7eb92fd699d433759f6b928efecb341841d5ab32a48314f63327717,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57.0,,"£800 - £1,200"
ad249815a7eb92fd699d433759f6b928efecb341841d5ab32a48314f63327717,3,Draught proofing,Draught proofing,10.0,,£80 - £120
ad249815a7eb92fd699d433759f6b928efecb341841d5ab32a48314f63327717,4,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8.0,,"£3,300 - £6,500"
bec110e4f719b9c0effd5923a50f6827dcdb8425b127ad7ade183d77b84ecc66,1,Floor insulation (solid floor),Floor insulation (solid floor),58.0,,"£4,000 - £6,000"
c7096b6be804466d9ee3b6c81a083bd71b7e7366965e5e732c02a8931bb32d5d,1,Internal or external wall insulation,Internal or external wall insulation,7.0,,"£4,000 - £14,000"
