House_ID,Dwelling type,Attachment,Attachment 2,Total Floor Area (m2) - measured by TEST team (not Halton survey),Number of bedrooms,Tenancy commenced (keys handed to tenants),Self-reported permanent occupation date (from interview),Energy meter install date,Temp_RH sensors install date,Data recording started,Voluntary_withdrawal_date,Postcode area,Boiler make,Boiler model,Boiler model qualifier,Boiler_efficiency_SAP 2009/2012 annual,Boiler_efficiency_Winter seasonal,Boiler_efficiency_DHW,Distance from weather station [km] (direct path),Co-heating HTC,Co-heating CI Lower excluding uncertainty,Co-heating CI Upper excluding uncertainty,Co-heating CI Lower including seasonal uncertainty,Co-heating CI Upper including seasonal uncertainty,RdSAP score,RdSAP band,Fabric only SAP HTC (W/K),RdSAP HTC - Average (W/K),Commercial EPC rating,Commercial EPC band,Total window area (m2),"Front door orientation, degrees",Front door orientation based on satellite image,Party wall location,Estimated Age,External wall type,External wall insulation,Loft insulation material,Loft insulation thickness (mm),Loft insulation quality,Ground floor type,Floor insulation,Glazing,Number of permanent occupants,Number of adult male permanent occupants,Number of adult female permanent occupants,Number of children permanent occupants,Batteries_sensors_replaced1,Batteries_sensors_replaced2,Batteries_sensors_replaced3
HH17,House,Semi-detached,End terrace,62.07,2,02/12/2019,07/12/2019,02/12/2019,02/12/2019,12/12/2019,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,0.4,191,173,209,163,218,73,C,132.63,164.16,73,C,11.9,110,East,South,1937-1958,No-fines concrete,External wall insulaion,Mineral wool fibre,300,even cover,Solid concrete,None,Double glazing,2,,1,1,06/10/2020,15/11/2020,
HH18,Bungalow,Semi-detached,End terrace,39.4,1,09/12/2019,16/12/2019,09/12/2019,09/12/2019,12/12/2019,02/11/2020,WA7,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,5.7,148,136,160,128,168,68,D,123.93,145.92,58,D,7.49,320,Northwest,Northeast,1958-1968,Cavity wall,Blown insulation,Mineral wool fibre,150,"Disturbed, piled up",Suspended timber,None,Double glazing,1,,1,,,,
HH19,House,Semi-detached,End terrace,61.39,2,09/12/2019,21/12/2019,09/12/2019,09/12/2019,12/12/2019,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,1,155,141,169,133,178,72,C,140.8,172.01,73,C,11.87,200,South,East,1937-1957,No-fines concrete,External wall insulaion,Mineral wool fibre,100,"Disturbed, piled up",Solid concrete,None,Double glazing,2,,1,1,15/10/2020,05/11/2020,
HH20,House,Semi-detached,Semi-detached,64.97,3,16/12/2019,03/01/2020,09/12/2019,09/12/2019,12/12/2019,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,2.3,229,210,248,197,261,70,C,163.85,200.48,64,D,13.3,300,Nortwest,Northeast,1927-1937,Cavity wall,Blown insulation,Mineral wool fibre,100,"even cover, detritus",Solid concrete,None,Double glazing,3,,1,2,11/11/2020,23/11/2020,
HH21,House,Semi-detached,Semi-detached,78.08,4,16/12/2019,18/12/2019,16/12/2019,16/12/2019,18/12/2019,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,2.1,269,255,283,235,303,70,C,190.33,234.07,64,D,13.12,190,South,West,1927-1937,Cavity wall,Blown insulation,Mineral wool fibre,100,Boarded over joists,Solid concrete,None,Double glazing,6,2,1,3,25/11/2020,,
HH22,House,Semi-detached,End terrace,65.02,2,16/12/2019,22/02/2020,16/12/2019,16/12/2019,12/12/2019,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,1.4,194,180,207,168,219,71,C,155.62,191.96,65,D,11.16,110,South,North,1967-1977,Cavity wall,Blown insulation,Mineral wool fibre,300,even cover,Solid concrete,None,Double glazing,2,,1,1,23/11/2020,,
HH23,House,Semi-detached,End terrace,78.35,3,06/01/2020,10/01/2020,06/01/2020,06/01/2020,16/01/2020,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,1,237,213,260,202,271,71,C,176.81,218.83,70,C,14.2,113,East,North,1967-1977,Cavity wall,Blown insulation,Mineral wool fibre,150,Disturbed,Solid concrete,None,Double glazing,3,2,1,,25/11/2020,,
HH24,Bungalow,Semi-detached,Semi-detached,38.96,1,06/01/2020,12/02/2020,06/01/2020,06/01/2020,31/01/2020,,WA7,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,5.3,171,160,181,149,193,68,D,126.65,145.11,68,D,7.29,203,South,East,1954-1962,Cavity wall,Blown insulation,Mineral wool fibre,100,Not observed,Suspended timber,None,Double glazing,1,1,,,04/11/2020,,
HH25,House,Semi-detached,Semi-detached,64.97,2,13/01/2020,16/01/2020,13/01/2020,13/01/2020,31/01/2020,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,2.2,244,224,263,210,277,70,C,155.27,191.9,64,D,13.28,42,Northeast,Southeast,1927-1937,Cavity wall,Blown insulation,Mineral wool fibre,300,"Disturbed, detritus",Solid concrete,None,Double glazing,4,1,1,2,11/11/2020,,
HH26,House,Semi-detached,Semi-detached,70.17,3,13/01/2020,13/01/2020,13/01/2020,20/01/2020,31/01/2020,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,2.4,254,235,272,219,288,71,C,164.58,203.94,71,C,12.35,190,Southwest,Southeast,1927-1937,Cavity wall,Blown insulation,Mineral wool fibre,300,Not observed,Solid concrete,None,Double glazing,3,,1,2,16/11/2020,,
HH27,House,Semi-detached,End terrace,72.38,3,20/01/2020,07/02/2020,20/01/2020,20/01/2020,31/01/2020,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,1.2,201,189,212,176,226,71,C,165.99,208.01,75,C,14.65,295,West,North,1967-1977,Cavity wall,Blown insulation,Mineral wool fibre,300,"even cover, detritus",Solid concrete,None,Double glazing,4,1,1,2,,,
HH28,House,Semi-detached,End terrace,64.18,2,20/01/2020,13/02/2020,20/01/2020,20/01/2020,31/01/2020,,WA7,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,5,172,154,189,146,198,72,C,140.36,173.03,59,D,9.36,235,West,South,1957-1968,Cavity wall,Blown insulation,Mineral wool fibre,300,even cover,Solid concrete,None,Double glazing,3,,1,2,04/11/2020,,
HH29,House,Semi-detached,End terrace,75.88,3,24/01/2020,21/02/2020,24/01/2020,24/01/2020,28/02/2020,,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,0.6,226,204,247,192,259,73,C,150.26,189.12,71,D,11.17,350,North,East,1937-1958,No-fines concrete,External wall insulaion,Mineral wool fibre,200,"Disturbed, detritus",Solid concrete,None,Double glazing,3,,2,1,,,
HH30,House,Semi-detached,End terrace,77.04,3,24/01/2020,07/03/2020,24/01/2020,24/01/2020,04/03/2020,01/11/2020,WA8,Vaillant,ecoTEC pro,28,88.8,89.7,61.1,0.7,227,205,249,194,260,72,C,158.48,198.02,66,D,11.17,280,West,South,1937-1958,No-fines concrete,External wall insulaion,Mineral wool fibre,100,even cover,Solid concrete,None,Double glazing,4,,1,3,,,
